BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2035-02-13 03:00:00,3022.22,5.940997015438982,2035-02-13 17:00:00,2855.23,-14.0
AZPS,2035-07-29 01:00:00,11231.98,14.637757545864577,2035-07-29 01:00:00,9587.87,0.0
BANC,2035-06-26 01:00:00,6110.57,10.235379023560816,2035-06-25 23:00:00,5545.96,2.0
BPAT,2035-02-14 16:00:00,13983.42,6.062107839140926,2035-02-14 16:00:00,13135.73,0.0
CHPD,2035-02-13 16:00:00,623.63,3.9302150313487165,2035-02-13 16:00:00,599.12,0.0
CISO,2035-08-02 01:00:00,70852.72,11.927036816652908,2035-08-02 01:00:00,62402.09,0.0
DOPD,2035-02-13 17:00:00,440.96,2.7281386066763424,2035-02-13 17:00:00,428.93,0.0
EPE,2035-07-27 23:00:00,2436.46,4.331283911904976,2035-07-27 23:00:00,2330.93,0.0
GCPD,2035-07-20 00:00:00,1169.15,2.1913355856819057,2035-07-20 00:00:00,1143.53,0.0
IID,2035-08-02 02:00:00,2543.31,47.8034529805647,2035-07-29 00:00:00,1398.54,98.0
IPCO,2035-08-07 00:00:00,5094.85,6.38448629498415,2035-08-07 00:00:00,4769.57,0.0
LDWP,2035-09-04 01:00:00,12252.51,33.426783573324975,2035-07-30 00:00:00,8665.83,865.0
NEVP,2035-08-03 01:00:00,11986.14,8.428067751586417,2035-07-27 23:00:00,11068.01,146.0
NWMT,2035-08-07 00:00:00,2095.54,10.65310134857841,2035-08-07 00:00:00,1872.3,0.0
PACE,2035-07-30 00:00:00,12975.82,6.356823692067246,2035-07-30 00:00:00,12150.97,0.0
PACW,2035-02-14 16:00:00,4645.85,4.087734214406406,2035-02-14 16:00:00,4455.94,0.0
PGE,2035-07-18 02:00:00,5761.0,13.559451484117341,2035-07-18 02:00:00,4979.84,0.0
PNM,2035-08-08 00:00:00,4405.48,12.997448632158132,2035-08-08 00:00:00,3832.88,0.0
PSCO,2035-07-30 00:00:00,12762.89,7.855195805965577,2035-07-30 00:00:00,11760.34,0.0
PSEI,2035-02-13 02:00:00,8001.88,10.57364019455428,2035-02-13 03:00:00,7217.04,-1.0
SCL,2035-02-13 01:00:00,2717.7,14.637745152150716,2035-02-13 02:00:00,2359.61,-1.0
SRP,2035-07-29 01:00:00,9295.64,1.4462694338421025,2035-07-29 01:00:00,9161.2,0.0
TEPC,2035-08-02 01:00:00,4459.37,9.00328970235706,2035-08-06 01:00:00,4066.48,-96.0
TIDC,2035-08-02 01:00:00,903.26,11.544848659300754,2035-07-27 23:00:00,823.28,122.0
TPWR,2035-02-13 02:00:00,1331.16,8.608281498843114,2035-02-13 03:00:00,1216.91,-1.0
WACM,2035-08-08 00:00:00,7015.11,11.878644810986572,2035-08-08 00:00:00,6181.81,0.0
WALC,2035-07-27 23:00:00,2304.46,7.613497305225519,2035-07-27 23:00:00,2129.01,0.0
WAUW,2035-08-22 01:00:00,234.57,22.458114848446094,2035-08-22 00:00:00,187.08,1.0
